Vrid,group,flag_name,value,id
673,incomplete,na_days,3,C2061161001
1060,incomplete,na_days,3,C2067456569
1410,incomplete,na_days,3,C2075101607
1443,incomplete,na_days,3,C2075159356
129,incomplete,na_part_water,3,C2058348332
134,incomplete,na_part_water,3,C2058358897
163,incomplete,na_part_water,3,C2058400374
179,incomplete,na_part_water,3,C2058458286
188,incomplete,na_part_water,3,C2058489637
197,incomplete,na_part_water,3,C2058502048
266,incomplete,na_part_water,3,C2059185592
356,incomplete,na_part_water,3,C2059398787
359,incomplete,na_part_water,3,C2059407513
425,incomplete,na_part_water,3,C2059736965
428,incomplete,na_part_water,3,C2059741339
479,incomplete,na_part_water,3,C2059884555
485,incomplete,na_part_water,3,C2059896498
513,incomplete,na_part_water,3,C2059969710
525,incomplete,na_part_water,3,C2060026351
533,incomplete,na_part_water,3,C2060065629
567,incomplete,na_part_water,3,C2060228111
614,incomplete,na_part_water,3,C2060582440
642,incomplete,na_part_water,3,C2061065084
650,incomplete,na_part_water,3,C2061078027
670,incomplete,na_part_water,3,C2061151916
685,incomplete,na_part_water,3,C2061217992
740,incomplete,na_part_water,3,C2061396311
743,incomplete,na_part_water,3,C2061410925
753,incomplete,na_part_water,3,C2061454391
755,incomplete,na_part_water,3,C2061463622
810,incomplete,na_part_water,3,C2062191974
816,incomplete,na_part_water,3,C2062226750
848,incomplete,na_part_water,3,C2062373890
870,incomplete,na_part_water,3,C2062641914
899,incomplete,na_part_water,3,C2063951511
943,incomplete,na_part_water,3,C2065215569
976,incomplete,na_part_water,3,C2066214783
983,incomplete,na_part_water,3,C2066364039
1007,incomplete,na_part_water,3,C2067117513
1060,incomplete,na_part_water,3,C2067456569
1085,incomplete,na_part_water,3,C2067513355
1126,incomplete,na_part_water,3,C2067857678
1178,incomplete,na_part_water,3,C2068113856
1204,incomplete,na_part_water,3,C2074705771
1234,incomplete,na_part_water,3,C2074757197
1251,incomplete,na_part_water,3,C2061396311
1346,incomplete,na_part_water,3,C2074950652
1356,incomplete,na_part_water,3,C2074984386
896,incomplete,na_days_water,3,C2063603563
1074,incomplete,na_days_water,3,C2067488416
141,incomplete,na_basin,3,C2058363026
225,incomplete,na_basin,3,C2058605529
235,incomplete,na_basin,3,C2058837196
239,incomplete,na_basin,3,C2058914306
280,incomplete,na_basin,3,C2059226997
398,incomplete,na_basin,3,C2059573191
427,incomplete,na_basin,3,C2059740599
545,incomplete,na_basin,3,C2060085424
573,incomplete,na_basin,3,C2060333213
586,incomplete,na_basin,3,C2060411707
638,incomplete,na_basin,3,C2061052596
658,incomplete,na_basin,3,C2061106369
674,incomplete,na_basin,3,C2061164639
694,incomplete,na_basin,3,C2061250818
871,incomplete,na_basin,3,C2062667609
1006,incomplete,na_basin,3,C2067113364
1012,incomplete,na_basin,3,C2067113883
1038,incomplete,na_basin,3,C2067139864
1084,incomplete,na_basin,3,C2067513982
1093,incomplete,na_basin,3,C2067532303
1203,incomplete,na_basin,3,C2074705144
1222,incomplete,na_basin,3,1025295790
1241,incomplete,na_basin,3,C2074766745
1344,incomplete,na_basin,3,C2074926073
1397,incomplete,na_basin,3,C2075087361
1407,incomplete,na_basin,3,C2075097375
171,incomplete,na_basin_days,3,C2058436948
249,incomplete,na_basin_days,3,C2058988460
271,incomplete,na_basin_days,3,C2059193301
299,incomplete,na_basin_days,3,C2059229580
308,incomplete,na_basin_days,3,C2059295094
340,incomplete,na_basin_days,3,C2059371056
389,incomplete,na_basin_days,3,C2059511299
394,incomplete,na_basin_days,3,C2059550681
459,incomplete,na_basin_days,3,C2059808329
485,incomplete,na_basin_days,3,C2059896498
512,incomplete,na_basin_days,3,C2059969577
529,incomplete,na_basin_days,3,C2060049300
546,incomplete,na_basin_days,3,C2060086528
568,incomplete,na_basin_days,3,C2060307029
570,incomplete,na_basin_days,3,C2060314227
579,incomplete,na_basin_days,3,1184357874
617,incomplete,na_basin_days,3,C2060595931
618,incomplete,na_basin_days,3,C2060604354
624,incomplete,na_basin_days,3,C2060628748
633,incomplete,na_basin_days,3,C2060714993
647,incomplete,na_basin_days,3,C2061073878
654,incomplete,na_basin_days,3,C2061101026
667,incomplete,na_basin_days,3,C2061140981
673,incomplete,na_basin_days,3,C2061161001
687,incomplete,na_basin_days,3,C2061228374
722,incomplete,na_basin_days,3,C2061352646
752,incomplete,na_basin_days,3,1184585350
803,incomplete,na_basin_days,3,C2062144341
809,incomplete,na_basin_days,3,C2062176920
813,incomplete,na_basin_days,3,C2062217522
822,incomplete,na_basin_days,3,C2062281680
835,incomplete,na_basin_days,3,C2062334550
875,incomplete,na_basin_days,3,C2062728676
885,incomplete,na_basin_days,3,C2062951541
887,incomplete,na_basin_days,3,C2063063757
901,incomplete,na_basin_days,3,C2063995924
919,incomplete,na_basin_days,3,C2064917282
938,incomplete,na_basin_days,3,C2065168849
953,incomplete,na_basin_days,3,C2065587306
969,incomplete,na_basin_days,3,C2065980915
979,incomplete,na_basin_days,3,C2066236208
981,incomplete,na_basin_days,3,C2066269703
997,incomplete,na_basin_days,3,1143854387
1001,incomplete,na_basin_days,3,C2066919131
1003,incomplete,na_basin_days,3,C2067020035
1013,incomplete,na_basin_days,3,C2067132082
1016,incomplete,na_basin_days,3,C2067139754
1020,incomplete,na_basin_days,3,C2067142284
1058,incomplete,na_basin_days,3,C2067450383
1090,incomplete,na_basin_days,3,C2067523360
1121,incomplete,na_basin_days,3,C2067824629
1131,incomplete,na_basin_days,3,C2067886482
1141,incomplete,na_basin_days,3,C2067971170
1145,incomplete,na_basin_days,3,C2067992859
1163,incomplete,na_basin_days,3,C2068081005
1182,incomplete,na_basin_days,3,C2068124081
1217,incomplete,na_basin_days,3,C2074726821
1218,incomplete,na_basin_days,3,C2074723586
1286,incomplete,na_basin_days,3,C2074810606
1296,incomplete,na_basin_days,3,C2074821026
1314,incomplete,na_basin_days,3,C2074846647
1324,incomplete,na_basin_days,3,C2074864972
1330,incomplete,na_basin_days,3,C2074881835
1340,incomplete,na_basin_days,3,C2074913627
1353,incomplete,na_basin_days,3,C2074982135
1365,incomplete,na_basin_days,3,C2074994069
1381,incomplete,na_basin_days,3,C2075045087
1433,incomplete,na_basin_days,3,C2075137308
1436,incomplete,na_basin_days,3,C2075140007
1439,incomplete,na_basin_days,3,1190268827
1456,incomplete,na_basin_days,3,C2075208456
1464,incomplete,na_basin_days,3,C2075225854
1467,incomplete,na_basin_days,3,C2075237510
285,core_suspicious,multiple_responses,3,C2059237628
310,core_suspicious,multiple_responses,3,C2059301712
444,core_suspicious,multiple_responses,3,1056716859
467,core_suspicious,multiple_responses,3,C2059843393
507,core_suspicious,multiple_responses,3,1090290674
537,core_suspicious,multiple_responses,3,C2059843393
612,core_suspicious,multiple_responses,3,1003534422
613,core_suspicious,multiple_responses,3,1003534422
649,core_suspicious,multiple_responses,3,1090290674
650,core_suspicious,multiple_responses,3,C2061078027
740,core_suspicious,multiple_responses,3,C2061396311
780,core_suspicious,multiple_responses,3,C2061581250
787,core_suspicious,multiple_responses,3,1056716859
894,core_suspicious,multiple_responses,3,1187417571
902,core_suspicious,multiple_responses,3,1187417571
944,core_suspicious,multiple_responses,3,1101263914
945,core_suspicious,multiple_responses,3,1101263914
984,core_suspicious,multiple_responses,3,
995,core_suspicious,multiple_responses,3,1187417571
1024,core_suspicious,multiple_responses,3,C2067153579
1029,core_suspicious,multiple_responses,3,C2067153579
1042,core_suspicious,multiple_responses,3,C2061078027
1049,core_suspicious,multiple_responses,3,C2067374038
1050,core_suspicious,multiple_responses,3,C2067374038
1087,core_suspicious,multiple_responses,3,
1100,core_suspicious,multiple_responses,3,1154177130
1101,core_suspicious,multiple_responses,3,1154177130
1119,core_suspicious,multiple_responses,3,C2061581250
1192,core_suspicious,multiple_responses,3,C2059237628
1213,core_suspicious,multiple_responses,3,C2074725203
1216,core_suspicious,multiple_responses,3,C2074725203
1223,core_suspicious,multiple_responses,3,C2059301712
1251,core_suspicious,multiple_responses,3,C2061396311
1404,core_suspicious,multiple_responses,3,
434,core_suspicious,all_activities,1,C2059748281
617,core_suspicious,all_activities,1,C2060595931
647,core_suspicious,all_activities,1,C2061073878
969,core_suspicious,all_activities,1,C2065980915
1286,core_suspicious,all_activities,1,C2074810606
763,core_suspicious,all_basins,1,C2061483313
792,core_suspicious,all_basins,1,C2061913834
1001,core_suspicious,all_basins,1,C2066919131
900,core_suspicious,high_days,1,C2063959293
1030,core_suspicious,high_days,1,C2067159333
1297,core_suspicious,high_days,2,1190240771
1353,core_suspicious,high_days,1,C2074982135
425,core_suspicious,high_sum_days,1,C2059736965
1030,core_suspicious,high_sum_days,1,C2067159333
1297,core_suspicious,high_sum_days,1,1190240771
1353,core_suspicious,high_sum_days,1,C2074982135
104,suspicious,high_water_days,1,C2058334912
108,suspicious,high_water_days,1,C2058332897
115,suspicious,high_water_days,1,C2058341094
125,suspicious,high_water_days,2,C2058346229
127,suspicious,high_water_days,1,C2058346324
134,suspicious,high_water_days,1,C2058358897
157,suspicious,high_water_days,1,C2058389011
193,suspicious,high_water_days,1,C2058497076
195,suspicious,high_water_days,2,C2058500876
208,suspicious,high_water_days,1,C2058531294
241,suspicious,high_water_days,1,C2058923896
247,suspicious,high_water_days,1,C2058967715
249,suspicious,high_water_days,1,C2058988460
299,suspicious,high_water_days,1,C2059229580
306,suspicious,high_water_days,1,C2059292076
344,suspicious,high_water_days,1,C2059383652
399,suspicious,high_water_days,1,C2059578278
442,suspicious,high_water_days,1,C2059762964
485,suspicious,high_water_days,1,C2059896498
500,suspicious,high_water_days,1,C2059928596
508,suspicious,high_water_days,1,C2059957647
549,suspicious,high_water_days,1,C2060094978
633,suspicious,high_water_days,2,C2060714993
640,suspicious,high_water_days,1,C2061055416
647,suspicious,high_water_days,3,C2061073878
653,suspicious,high_water_days,1,C2061096830
666,suspicious,high_water_days,1,C2061137682
681,suspicious,high_water_days,1,C2061194400
687,suspicious,high_water_days,1,C2061228374
693,suspicious,high_water_days,3,C2061249969
702,suspicious,high_water_days,1,C2061279218
856,suspicious,high_water_days,1,C2062398680
867,suspicious,high_water_days,1,C2062578384
875,suspicious,high_water_days,1,C2062728676
887,suspicious,high_water_days,2,C2063063757
897,suspicious,high_water_days,1,C2063676235
928,suspicious,high_water_days,1,C2065026498
959,suspicious,high_water_days,1,C2065741038
978,suspicious,high_water_days,1,C2066235959
1014,suspicious,high_water_days,1,C2067132380
1032,suspicious,high_water_days,1,C2067163159
1066,suspicious,high_water_days,1,C2067475451
1136,suspicious,high_water_days,2,C2067951295
1188,suspicious,high_water_days,1,C2068151598
1237,suspicious,high_water_days,1,C2074761946
1254,suspicious,high_water_days,1,C2074778902
1265,suspicious,high_water_days,1,C2074789391
1286,suspicious,high_water_days,2,C2074810606
1302,suspicious,high_water_days,1,C2074829122
1307,suspicious,high_water_days,1,C2074837878
1351,suspicious,high_water_days,1,C2074972509
1400,suspicious,high_water_days,2,C2075089882
1414,suspicious,high_water_days,1,C2075104911
1418,suspicious,high_water_days,1,C2075107992
1432,suspicious,high_water_days,1,C2075131877
1449,suspicious,high_water_days,1,C2075184587
1464,suspicious,high_water_days,1,C2075225854
104,suspicious,high_basin_days,2,C2058334912
228,suspicious,high_basin_days,1,C2058703405
313,suspicious,high_basin_days,1,C2059308320
393,suspicious,high_basin_days,1,C2059546859
431,suspicious,high_basin_days,1,C2059743636
502,suspicious,high_basin_days,1,C2059930349
532,suspicious,high_basin_days,1,C2060064165
551,suspicious,high_basin_days,1,C2060097897
569,suspicious,high_basin_days,1,C2060312895
581,suspicious,high_basin_days,1,C2060385021
673,suspicious,high_basin_days,1,C2061161001
711,suspicious,high_basin_days,1,C2061321541
717,suspicious,high_basin_days,2,C2061344200
742,suspicious,high_basin_days,1,C2061408834
810,suspicious,high_basin_days,4,C2062191974
885,suspicious,high_basin_days,4,C2062951541
899,suspicious,high_basin_days,1,C2063951511
920,suspicious,high_basin_days,1,C2064934877
942,suspicious,high_basin_days,1,C2065199554
959,suspicious,high_basin_days,1,C2065741038
974,suspicious,high_basin_days,1,C2066188294
976,suspicious,high_basin_days,1,C2066214783
997,suspicious,high_basin_days,1,1143854387
1014,suspicious,high_basin_days,1,C2067132380
1074,suspicious,high_basin_days,1,C2067488416
1075,suspicious,high_basin_days,1,C2067488647
1133,suspicious,high_basin_days,1,C2067926384
1345,suspicious,high_basin_days,1,C2074926957
1354,suspicious,high_basin_days,1,C2074982938
1436,suspicious,high_basin_days,1,C2075140007
1464,suspicious,high_basin_days,1,C2075225854
104,suspicious,low_basin_days,3,C2058334912
109,suspicious,low_basin_days,2,C2058336678
110,suspicious,low_basin_days,1,C2058338484
126,suspicious,low_basin_days,2,C2058346823
130,suspicious,low_basin_days,1,C2058348822
134,suspicious,low_basin_days,1,C2058358897
145,suspicious,low_basin_days,2,C2058371422
149,suspicious,low_basin_days,1,C2058377754
152,suspicious,low_basin_days,1,C2058382400
168,suspicious,low_basin_days,3,C2058418865
169,suspicious,low_basin_days,3,C2058425489
189,suspicious,low_basin_days,1,C2058493330
206,suspicious,low_basin_days,1,C2058529836
209,suspicious,low_basin_days,2,C2058536025
213,suspicious,low_basin_days,1,C2058553647
231,suspicious,low_basin_days,1,C2058789430
241,suspicious,low_basin_days,1,C2058923896
242,suspicious,low_basin_days,3,C2058938386
275,suspicious,low_basin_days,1,C2059197578
276,suspicious,low_basin_days,3,C2059200723
278,suspicious,low_basin_days,3,C2059208513
288,suspicious,low_basin_days,1,C2059246801
301,suspicious,low_basin_days,2,C2059274220
307,suspicious,low_basin_days,1,C2059293765
313,suspicious,low_basin_days,1,C2059308320
320,suspicious,low_basin_days,1,C2059321190
326,suspicious,low_basin_days,2,C2059330028
331,suspicious,low_basin_days,1,C2059347732
332,suspicious,low_basin_days,2,C2059352504
337,suspicious,low_basin_days,2,C2059366267
340,suspicious,low_basin_days,3,C2059371056
342,suspicious,low_basin_days,1,C2059376600
345,suspicious,low_basin_days,1,C2059386292
349,suspicious,low_basin_days,2,C2059390025
367,suspicious,low_basin_days,2,C2059419114
376,suspicious,low_basin_days,1,C2059471353
379,suspicious,low_basin_days,1,C2059475033
381,suspicious,low_basin_days,1,C2059479366
384,suspicious,low_basin_days,2,C2059482947
386,suspicious,low_basin_days,2,C2059485797
389,suspicious,low_basin_days,4,C2059511299
390,suspicious,low_basin_days,3,C2059522773
410,suspicious,low_basin_days,1,C2059695326
412,suspicious,low_basin_days,1,C2059703128
417,suspicious,low_basin_days,2,C2059725051
419,suspicious,low_basin_days,2,C2059730178
442,suspicious,low_basin_days,1,C2059762964
448,suspicious,low_basin_days,1,C2059771346
458,suspicious,low_basin_days,1,C2059807319
462,suspicious,low_basin_days,1,C2059822732
478,suspicious,low_basin_days,1,C2059883344
483,suspicious,low_basin_days,4,C2059895333
485,suspicious,low_basin_days,3,C2059896498
489,suspicious,low_basin_days,2,C2059902732
497,suspicious,low_basin_days,1,C2059919280
499,suspicious,low_basin_days,4,C2059926772
504,suspicious,low_basin_days,1,C2059940616
508,suspicious,low_basin_days,4,C2059957647
511,suspicious,low_basin_days,1,1113637428
542,suspicious,low_basin_days,1,1167690549
546,suspicious,low_basin_days,2,C2060086528
549,suspicious,low_basin_days,3,C2060094978
551,suspicious,low_basin_days,1,C2060097897
555,suspicious,low_basin_days,1,C2060108131
558,suspicious,low_basin_days,1,C2060120170
570,suspicious,low_basin_days,1,C2060314227
579,suspicious,low_basin_days,1,1184357874
583,suspicious,low_basin_days,1,C2060391129
597,suspicious,low_basin_days,3,C2060476118
617,suspicious,low_basin_days,3,C2060595931
629,suspicious,low_basin_days,2,C2060646682
633,suspicious,low_basin_days,2,C2060714993
640,suspicious,low_basin_days,2,C2061055416
644,suspicious,low_basin_days,1,C2061072888
651,suspicious,low_basin_days,1,C2061086648
660,suspicious,low_basin_days,2,C2061111301
665,suspicious,low_basin_days,1,C2061128311
666,suspicious,low_basin_days,1,C2061137682
669,suspicious,low_basin_days,1,C2061154601
684,suspicious,low_basin_days,2,C2061204784
685,suspicious,low_basin_days,1,C2061217992
695,suspicious,low_basin_days,2,C2061256966
696,suspicious,low_basin_days,1,C2061259836
699,suspicious,low_basin_days,1,C2061270039
703,suspicious,low_basin_days,1,C2061285648
704,suspicious,low_basin_days,2,C2061287019
711,suspicious,low_basin_days,2,C2061321541
717,suspicious,low_basin_days,3,C2061344200
722,suspicious,low_basin_days,3,C2061352646
723,suspicious,low_basin_days,1,C2061357525
725,suspicious,low_basin_days,2,C2061366360
728,suspicious,low_basin_days,1,C2061368563
742,suspicious,low_basin_days,1,C2061408834
748,suspicious,low_basin_days,3,C2061433640
750,suspicious,low_basin_days,1,C2061444246
764,suspicious,low_basin_days,1,C2061487449
769,suspicious,low_basin_days,2,C2061509113
775,suspicious,low_basin_days,1,C2061537232
779,suspicious,low_basin_days,1,C2061574823
781,suspicious,low_basin_days,1,C2061597994
805,suspicious,low_basin_days,1,C2062160222
807,suspicious,low_basin_days,1,C2062174028
814,suspicious,low_basin_days,1,C2062169491
817,suspicious,low_basin_days,2,C2062263522
819,suspicious,low_basin_days,1,C2062273858
829,suspicious,low_basin_days,1,C2062311309
831,suspicious,low_basin_days,1,C2062324006
852,suspicious,low_basin_days,1,C2062386060
855,suspicious,low_basin_days,1,C2062398034
861,suspicious,low_basin_days,2,C2062432990
873,suspicious,low_basin_days,1,C2062692223
879,suspicious,low_basin_days,2,C2062860466
880,suspicious,low_basin_days,2,C2062866170
882,suspicious,low_basin_days,1,C2062935743
898,suspicious,low_basin_days,1,C2063830030
900,suspicious,low_basin_days,2,C2063959293
903,suspicious,low_basin_days,1,1179281706
907,suspicious,low_basin_days,1,1100826941
919,suspicious,low_basin_days,2,C2064917282
920,suspicious,low_basin_days,1,C2064934877
938,suspicious,low_basin_days,1,C2065168849
942,suspicious,low_basin_days,2,C2065199554
953,suspicious,low_basin_days,2,C2065587306
955,suspicious,low_basin_days,3,C2065643661
957,suspicious,low_basin_days,4,1171621212
969,suspicious,low_basin_days,4,C2065980915
973,suspicious,low_basin_days,1,C2066160804
980,suspicious,low_basin_days,2,C2066250938
982,suspicious,low_basin_days,1,1146996422
997,suspicious,low_basin_days,3,1143854387
1014,suspicious,low_basin_days,1,C2067132380
1033,suspicious,low_basin_days,1,C2067163628
1066,suspicious,low_basin_days,1,C2067475451
1067,suspicious,low_basin_days,2,C2067480186
1107,suspicious,low_basin_days,2,C2067582994
1109,suspicious,low_basin_days,2,C2067601378
1120,suspicious,low_basin_days,1,C2067766310
1124,suspicious,low_basin_days,4,C2067853710
1131,suspicious,low_basin_days,1,C2067886482
1145,suspicious,low_basin_days,1,C2067992859
1150,suspicious,low_basin_days,1,C2068016642
1153,suspicious,low_basin_days,1,C2068022070
1159,suspicious,low_basin_days,1,C2068062954
1160,suspicious,low_basin_days,1,C2068063468
1161,suspicious,low_basin_days,1,C2068071701
1167,suspicious,low_basin_days,1,C2068089865
1168,suspicious,low_basin_days,1,C2068099020
1182,suspicious,low_basin_days,2,C2068124081
1188,suspicious,low_basin_days,1,C2068151598
1202,suspicious,low_basin_days,1,C2068240934
1207,suspicious,low_basin_days,3,C2074712608
1224,suspicious,low_basin_days,1,C2074741584
1228,suspicious,low_basin_days,4,C2074744871
1247,suspicious,low_basin_days,1,C2074774227
1256,suspicious,low_basin_days,3,C2074780143
1258,suspicious,low_basin_days,1,C2074781115
1260,suspicious,low_basin_days,1,C2074787960
1267,suspicious,low_basin_days,1,C2074790733
1272,suspicious,low_basin_days,1,C2066112085
1278,suspicious,low_basin_days,1,C2074804773
1286,suspicious,low_basin_days,1,C2074810606
1295,suspicious,low_basin_days,1,C2074820450
1298,suspicious,low_basin_days,1,C2074827526
1302,suspicious,low_basin_days,1,C2074829122
1310,suspicious,low_basin_days,2,C2074839824
1320,suspicious,low_basin_days,1,C2074850541
1329,suspicious,low_basin_days,2,C2074879873
1334,suspicious,low_basin_days,1,C2074893257
1339,suspicious,low_basin_days,1,C2074908117
1340,suspicious,low_basin_days,1,C2074913627
1345,suspicious,low_basin_days,2,C2074926957
1349,suspicious,low_basin_days,2,C2074951702
1351,suspicious,low_basin_days,1,C2074972509
1352,suspicious,low_basin_days,1,C2074981934
1353,suspicious,low_basin_days,1,C2074982135
1364,suspicious,low_basin_days,1,C2074992921
1370,suspicious,low_basin_days,1,C2075010679
1387,suspicious,low_basin_days,2,C2075061096
1394,suspicious,low_basin_days,1,C2075075952
1405,suspicious,low_basin_days,1,C2075094543
1409,suspicious,low_basin_days,2,C2075100827
1416,suspicious,low_basin_days,1,C2075107423
1420,suspicious,low_basin_days,1,C2075109936
1425,suspicious,low_basin_days,1,C2075117523
1432,suspicious,low_basin_days,1,C2075131877
1435,suspicious,low_basin_days,1,C2075139261
1439,suspicious,low_basin_days,1,1190268827
1440,suspicious,low_basin_days,1,C2075143839
1447,suspicious,low_basin_days,1,C2075179382
1451,suspicious,low_basin_days,1,C2075188161
1456,suspicious,low_basin_days,2,C2075208456
1460,suspicious,low_basin_days,1,C2075216194
1464,suspicious,low_basin_days,1,C2075225854
